title,abstract,year,Topic_ID,Dimension,Objective,Method,Result
{Assessing the Impact of Digital Transformation on Public Service Delivery in Zimbabwe},"Governments worldwide increasingly recognize the need to accelerate digital transformation to enhance public service delivery, drive economic growth, and ensure societal resilience in an increasingly digital age. This study focuses on the impact of digital transformation on public service delivery in Zimbabwe, considering the country's unique socio-political and economic context. Through a comprehensive literature review, this research examines the challenges and opportunities presented by digital transformation, aiming to assess its effects on service quality, citizen engagement, and overall governance. The study contributes to the growing body of literature on digital transformation in developing countries, emphasizing best practices, key challenges, and recommendations for future interventions. Employing a quantitative methodology with stratified random sampling techniques, the research finds that the adoption of digital technologies in Zimbabwe has streamlined processes, improved resource utilization, and enhanced responsiveness to citizen inquiries and feedback. These findings underscore the importance of digital transformation in enhancing public service delivery and informing policy decisions in Zimbabwe.",2024,1.0,Public service delivery,"This paper examines digital leadership in the public sector which is one of the challenges faced by many government organizations in adopting and managing information and communication technology effectively, the use of ICT changes the way of working and business operations of an organization both in the public and private sectors.",,"Digitalisation and e-leadership can help improve transparency, accountability and public participation in decision-making processes in local government."
{Digital Leadership in the Public Sector-Systematic Literature Review},"This paper examines digital leadership in the public sector which is one of the challenges faced by many government organizations in adopting and managing information and communication technology effectively, the use of ICT changes the way of working and business operations of an organization both in the public and private sectors. Digital transformation opens up opportunities and challenges to create business advantage by using the concept of digital capability as the ability of an organization o understand digital technology and use it to create business value, digital transformation is not only about implementing new technology, but also about changing the way of thinking and managing the business as a whole. Digitalisation and e-leadership can help improve transparency, accountability and public participation in decision-making processes in local government. In addition, local leaders are also using digital technology to improve communication with the public and get useful feedback in public policy making. In conclusion, digital leadership in the public sector is essential for governments and public sector organizations to keep pace with the rapid changes brought about by digital transformation. Effective digital leadership can help improve the efficiency, quality, transparency, participation and accessibility of public services, ultimately delivering better outcomes for citizens.",2023,9.0,Government operating logic and processes,,"To demonstrate how this model facilitates information flow across institutional boundaries and improves collaborative governance, we analyze horizontal, vertical, and public-private collaboration using a diverse case study design.","While existing literature on inter-governmental collaboration has emphasized organizational restructuring and data sharing, this study argues that a pragmatic way to improve administrative efficiency in the absence of formal institutional change is to adopt an alternative model to GaaP: platform-enabled government."
{Doing more among institutional boundaries: Platform-enabled government in China},"The concept of Government as a Platform (GaaP) has recently encountered setbacks in practice worldwide. While existing literature on inter-governmental collaboration has emphasized organizational restructuring and data sharing, this study argues that a pragmatic way to improve administrative efficiency in the absence of formal institutional change is to adopt an alternative model to GaaP: platform-enabled government. Enabled by innovations of the middle-tier platform, this new model of platform governance integrates the functions of distributed systems of multiple departments into a sequential workflow without the requirement of institutional reform or sharing proprietary data. To demonstrate how this model facilitates information flow across institutional boundaries and improves collaborative governance, we analyze horizontal, vertical, and public-private collaboration using a diverse case study design. We examine administrative review, law enforcement, and contact tracing during the pandemic in the context of China. Our findings suggest accommodating institutional boundaries is a practical and effective approach to advance the digital government agenda in decentralized contexts.",2023,5.0,Government organizational structure,,,"The results show that leadership is one of the most desired competences followed by technological knowledge, business vision, and customer orientation."
{From E-Government to Digital Transformation: Leadership},"In these times of pandemic, the world has witnessed the power of connectivity, and many organizations have seen the need to rethink their models and even reinvent themselves in response to this new form of global connectivity. This transformation has also changed the way public organizations deliver services to citizens. Successfully driving the digital transformation process requires a leader with skills and knowledge. Leadership has been considered as a critical factor that impacts e-government. This paper presents the competences of those responsible for driving digital transformation (DT) in organizations. The results show that leadership is one of the most desired competences followed by technological knowledge, business vision, and customer orientation. These aspects must be considered as a fundamental basis, in any organization that takes on the challenge of this paradigm shift.",2022,6.0,Government organizational structure,"This study aims to analyze the transformation of public service innovation toward the development of digital government, using a descriptive qualitative approach.","This study aims to analyze the transformation of public service innovation toward the development of digital government, using a descriptive qualitative approach.",
{Transformasi Inovasi Pelayanan Publik menuju Pemerintahan Digital},"The digitalization of public services is an integrative process involving the application of information and communication technologies (ICT) in the administration of government services to the public. Its primary goal is to enhance efficiency, effectiveness, and the overall quality of public service delivery. By utilizing digital platforms, citizens can swiftly access information and perform various transactions without the need for physical visits to government offices. This study aims to analyze the transformation of public service innovation toward the development of digital government, using a descriptive qualitative approach. Data were collected through document analysis, in-depth interviews, and observation of digital service practices implemented by selected public agencies. Purposive sampling was applied to identify key informants. The findings reveal that the success of public service digitalization depends significantly on effective coordination among stakeholders, infrastructure readiness, human resource capabilities, and institutional willingness to reform existing procedures. Collaboration between the public and private sectors plays a crucial role in the design, implementation, and management of responsive and inclusive digital service systems. Furthermore, the study emphasizes that a strong understanding of public administration principles (transparency, participation, and accountability) must be aligned with technological adaptability to create modern, integrated, and citizen-oriented public services. Keywords: Digitalization, public Services, transformation",2025,9.0,Government operating logic and processes,"This study focuses on an important area that has not yet been adequately addressed, where ITSM delivery can produce tremendous results.","In general, the qualitative analysis methodology is used in this research study, and specifically, it can be identified as applied research.","A well-implemented ITSM delivery system improves the quality of IT services, which eventually enhances the organization's overall capacity and output."
{Digital Transformation of Public Sector Governance With IT Service Management-A Pilot Study},"Information Technology or IT is a combination of technology itself and a collection of IT services that ensure the effective implementation of overall Information Technology in an organization. Like other services, Information Technology Service Management (ITSM) has become a global subject because managing IT is only possible through efficient and effective ITSM protocols. A well-implemented ITSM delivery system improves the quality of IT services, which eventually enhances the organization's overall capacity and output. Public service delivery is closely dependent on the quality IT services that can be acquired through ITSM. This research study reviews some of the established ITSM standards and frameworks like FitSM, ITIL, CobiT, and ISO/IEC 20000 and proposes a most suitable and sustainable tool and its implementation roadmap for the digital transformation of public sector governance. For this pilot study, a public sector organization (PSO) working under the Government of Punjab (GoPb) was selected. This study focuses on an important area that has not yet been adequately addressed, where ITSM delivery can produce tremendous results. This study contributes to academics and researchers since it discusses the selection and implementation of a service management system (SMS) for a PSO while focusing on its needs, requirements, and available resources. In general, the qualitative analysis methodology is used in this research study, and specifically, it can be identified as applied research. The data is collected through a questionnaire, and the results are shown and discussed in the later sections.",2023,9.0,Government operating logic and processes,,,
"{Digital government, open architecture, and innovation: Why public sector it will never be the same again}","This article argues that the future of public services will be shaped increasingly by the evolution of global, Internet-enabled, digital platforms, with two distinctive technical and commercial features. First, use of open standards and architectures that separate standard business logic from supporting applications will allow government to become technology- and vendor-agnostic, freeing it from its overdependence on proprietary systems and suppliers. Second, over time, open standards and increased market choice will drive both innovation and progressive convergence on cheaper, standard ""utility"" public services. These two features will combine to create a powerful dynamic situation, driving disintegration of traditional ""black boxed"" technologies and services, traditionally organized around ""systems integrators"" and departmental structures, and their reaggregation around the citizen in the form of services. Such reaggregation is allowing progressively sharp distinctions between niche/innovative and commodity/standard offerings, supplied by a plural, innovative, and more cost-effective marketplace, with unprecedented implications for the way in which the state buys and deploys technology. We draw on a range of data from across public and private sectors to illustrate our argument and identify some key policy and implementation recommendations. {\textcopyright} 2013 The Author. Published by Oxford University Press on behalf of the Journal of Public Administration Research and Theory, Inc. All rights reserved.",2013,8.0,Government operating logic and processes,,Redesigning local government bureaucracy requires a shared commitment and an integrated central government policy framework for enabling the support system.,
{Leveraging Agile Transformation: Redesigning Local Government Governance},"A change from bureaucracy as a machine to a lively bureaucracy is needed for future VUCA. Being ”agile” is a defence strategy for bureaucracy to handle disruptions. Transformation of local government from a hierarchical system to an agile bureaucracy while maintaining stability and sustainably delivering services to citizens in diverse spaces and times necessitates leveraging a range of factors. We conducted a systematic literature review to explore enabling factors that help leverage agility for local government governance transformation. Redesigning local government bureaucracy requires a shared commitment and an integrated central government policy framework for enabling the support system. We prescribe a new model of local government governance in disaster-prone areas, which needs to be supported by an elite team who are responsive, flexible and innovative in real-time. This group should have expertise in policy analysis, human wellbeing, health, food supply, communication, informatics, risk disaster management, and mitigation to maintain future governance. This futuristic local government organizational design adapts crisis management into an integrated digital system dominated by strategic management levels, which adhere to morals and values. Keywords: agile local governance, crisis management, operational policy, redesign bureaucracy, responsiveness in VUCA",2022,7.0,Leadership,,"Based on a systematic literature review and fifteen semi-structured interviews with public sector experts, the paper discusses how digital transformation enables the decentralisation of public governance.","Digital transformation supports public organisations' efforts to gain the most out of public governance decentralisation as it improves the efficiency of local and federal governments, citizen participation, citizen empowerment, public trust, and continuance of public administration."
{Digital Transformation-driven Decentralisation of Public Governance},"Decentralisation, also referred to as administrative decentralisation, has gained wide recognition as a governance model associated with efficient use of resources and innovative public service delivery. Thus, it is no surprise that many unitary countries and transnational governments have embraced this public governance model. Most recently, the discourse on decentralisation of public governance has become intertwined with digital transformation within the public sector. The rationale is that digital transformation was found to support the decentralisation of public governance, improving overall organisational efficiency and the creation of added public value for citizens. Based on a systematic literature review and fifteen semi-structured interviews with public sector experts, the paper discusses how digital transformation enables the decentralisation of public governance. Digital transformation supports public organisations' efforts to gain the most out of public governance decentralisation as it improves the efficiency of local and federal governments, citizen participation, citizen empowerment, public trust, and continuance of public administration.",2024,1.0,Public service delivery,,,Digital governance strategies can promote both the politics and performance management potential for technological collaboration well as improve access to and satisfaction with government services.
{Digital governance and collaborative strategies for improving service quality},"This paper explores changes in traditional political linkages and argues for greater use of a collaborative model (Figure 2) for achieving citizen access with information communication technologies (ICTs). There is substantial evidence that a 'paradigm' shift from bureaucracy-driven electronic to collaborative digital governance is taking place. Common factors which encourage or limit adoption of ICTs by governmental agencies include public administrators' distrust of non-professionals, government officials' fear of loss of control, lack of sufficient funding. Prospects for the future expansion of digital governance to deliver higher quality less costly government services in the current strict fiscal environment are assessed. The paper highlights case studies of emerging applications in selected cities and states where advanced ICT applications are being used to achieve operating efficiencies, program effectiveness, and productivity. Examples are given which can serve as 'benchmarks' for collaborative reforms. Digital governance strategies can promote both the politics and performance management potential for technological collaboration well as improve access to and satisfaction with government services. Emerging collaborative relationships among governments and public as well as private agencies not only result in a more efficient service delivery, but also lead to more accountable and interoperable administrative structure.",2014,5.0,Government organizational structure,Digital transformation (DT) is a strategic imperative for governments that aim to improve their services and efficiency.,"In this research, we employed a case study approach to investigate and analyze DT based on relevant events occurring in a five-year period.",Digital transformation (DT) is a strategic imperative for governments that aim to improve their services and efficiency.
{Towards a comprehensive understanding of digital transformation in government: Analysis of flexibility and enterprise architecture},"Digital transformation (DT) is a strategic imperative for governments that aim to improve their services and efficiency. Despite high expectations regarding DT practices, there is limited empirical evidence on how governments are approaching DT in a hierarchical bureaucracy context and how flexibility is created to enable progression. In this research, we employed a case study approach to investigate and analyze DT based on relevant events occurring in a five-year period. A conceptual model was created by combining the diamond framework, the technology enactment framework, and enterprise architecture scope to facilitate the chronological analysis of these events and reflect upon the creation of flexibility. The findings indicate that DT in government spreads in waves with adaptations in different organizational elements, impacting the whole administrative system from the provincial level to the country level and including both radical and incremental changes. Flexibility increases alongside progress in DT and can be technology-enabled or policy-enabled. The creation of flexibility also depends on organizational elements and bureaucratic levels. This study advocates a cross-level view to comprehensively understand DT and offers insights to help other governments craft DT agenda.",2020,7.0,Leadership,This study aims to analyze the role of e-government in enhancing the effectiveness and efficiency of modern public administration.,"Using a qualitative research method through literature analysis and in-depth interviews with government employees across several public service agencies in Indonesia, this study explores the benefits and challenges faced in the implementation of e-government.","The study's recommendations include strategies to improve information technology capacity, formulate policies that support digital transformation, and raise awareness and public participation in utilizing digital government services."
{Enhancing Public Service Delivery through Digital Transformation: A Study on the Role of E-Government in Modern Public Administration},"Digital transformation has become a crucial element in improving the quality of public service delivery, particularly through the implementation of e-government. This study aims to analyze the role of e-government in enhancing the effectiveness and efficiency of modern public administration. Using a qualitative research method through literature analysis and in-depth interviews with government employees across several public service agencies in Indonesia, this study explores the benefits and challenges faced in the implementation of e-government. The findings indicate that e-government significantly contributes to expediting public service processes, increasing transparency, and minimizing potential corruption and abuse of power. Furthermore, e-government enables more effective interagency collaboration through integrated information systems, positively impacting operational efficiency. However, the study also identifies obstacles to the adoption of e-government, such as limited digital infrastructure, resistance from government officials, and the digital divide in society, which can reduce its effectiveness. This study concludes that e-government can serve as a strategic instrument for public administration reform if supported by infrastructure improvements, human resource training, and increased public digital literacy. Consequently, e-government not only enhances the quality of public services but also strengthens accountability and public trust in the government. The study's recommendations include strategies to improve information technology capacity, formulate policies that support digital transformation, and raise awareness and public participation in utilizing digital government services.",2024,9.0,Government operating logic and processes,,,
{The Transformational Effect of Web 2.0 Technologies on Government},"Web 2.0 technologies are now being deployed in government settings. For example, public agencies have used blogs to communicate information on public hearings, wikis and RSS feeds to coordinate work, and wikis to internally share expertise, and intelligence information. The potential for Web 2.0 tools create a public sector paradox. On the one hand, they have the potential to create real transformative opportunities related to key public sector issues of transparency, accountability, communication and collaboration, and to promote deeper levels of civic engagement. On the other hand, information flow within government, across government agencies and between government and the public is often highly restricted through regulations, specific reporting structures and therefore usually delayed through the filter of the bureaucratic constraints. What the emergent application and popularity of Web 2.0 tools show is that there is an apparent need within government to create, distribute and collect information outside the given hierarchical information flow. Clearly, these most recent Internet technologies are creating dramatic changes in the way people at a peer-to-peer production level communicate and collaborate over the Internet. And these have potentially transformative implications for the way public sector organizations do work and communicate with each other and with citizens. But they also create potential difficulties and challenges that have their roots in the institutional contexts these technologies are or will be deployed within. In other words, it is not the technology that hinders us from transformation and innovation – it is the organizational and institutional hurdles that need to be overcome. This paper provides an overview of the transformative organizational, technological and informational challenges ahead.",2011,5.0,Government organizational structure,,"Taking an institutional perspective, and the strategic-relational approach (SRA), we examine the extent to which institutional design constraints leadership behaviours, and under what conditions leaders begin to adjust and/or challenge these design features adding to the knowledge of managing digitalisation of government.","Our results show that while clear institutional design features such as established rules, project structures, and standard operating procedures are essential at the initial stages of the projects, leaders' skills in understanding and tailoring these features are critical to handle project-related problems and moving forwards towards implementation."
"{Leadership and institutional design in collaborative government digitalisation: Evidence from Belgium, Denmark, Estonia, Germany, and the UK}","Large-scale government digitalisation projects require collaborative approaches for their successful development and implementation. To shed light on these collaboration dynamics, the interplay between two integral parts of collaborative projects: the project rules, procedures, and structures (collectively known as institutional design) and the leaders managing these projects is studied. In doing so, the paper provides empirically grounded insights into the management of collaborative government digitalisation projects. Taking an institutional perspective, and the strategic-relational approach (SRA), we examine the extent to which institutional design constraints leadership behaviours, and under what conditions leaders begin to adjust and/or challenge these design features adding to the knowledge of managing digitalisation of government. To this end, we present a five-country case study of national digitalisation projects across Europe. Our results show that while clear institutional design features such as established rules, project structures, and standard operating procedures are essential at the initial stages of the projects, leaders' skills in understanding and tailoring these features are critical to handle project-related problems and moving forwards towards implementation. This underscores the importance of examining projects taking an SRA approach and the need to understand leadership behaviour in the context of the structures in which it is embedded.",2023,8.0,Government operating logic and processes,,,"Specifically, interfaces displayed on mobile applications significantly facilitate evaluations by citizens and improve citizen satisfaction."
{Digital transformation of citizens' evaluations of public service delivery: evidence from China},"Thanks to the development of digital technologies and their applications in public service delivery, ratings by citizens of service quality have been transforming from paper/phone surveys to digital interfaces, similar to what has happened in e-commerce. How does digitalization drive the change in ratings by citizens? Are citizens more satisfied when they rate public services online? We provide empirical answers to these questions based on data from the government service evaluation system in a Chinese city. We found that digital interfaces facilitate the behavior of citizens making evaluations and boost citizen satisfaction compared with offline channels. Specifically, interfaces displayed on mobile applications significantly facilitate evaluations by citizens and improve citizen satisfaction. The results provide theoretical and practical implications for understanding the digital transformation of public service ratings.",2022,1.0,Public service delivery,"In terms of originality, this study aims to contribute and stimulate data-driven discussions regarding the impacts of the digital transformation in the public sector and their relation with the implementation of knowledge management practices.",In this study the methodology is quantitative and it is based on a review and a survey made with the main goal being the estimation from several collected data on how the digital transformation process in the Public Administration takes place and what its relationship is with knowledge management.,"An improved government through digitization will not only have a growing effect on businesses, but it will also be able to intensify citizen engagement and push for economic growth."
{Digital transformation and knowledge management in the public sector},"Digitizing public services is, at the moment, an essential necessity for numerous governments around the world. An improved government through digitization will not only have a growing effect on businesses, but it will also be able to intensify citizen engagement and push for economic growth. During the last 10 years more countries have progressively begun to provide digital services to their citizens. Therefore, in order to address this development, the purpose of this paper is to analyze the evolution of the digital government literature in order to describe the aspects of digital transformation in the public sector and how it is related to knowledge management. In this study the methodology is quantitative and it is based on a review and a survey made with the main goal being the estimation from several collected data on how the digital transformation process in the Public Administration takes place and what its relationship is with knowledge management. The review study is based on articles found on Scopus database and it addresses the role that digital government research plays in the theory and practice of knowledge management. In the survey study, 54 employees working for the services of the two governmental areas of the Portuguese Ministry of the Environment were surveyed. The results show that the research on the theme is still at an exploratory stage due to the lack of studies relating digital government to knowledge management effectiveness in the public sector. The results also show that the success of digital government seems to be related with the quality of the organizations' knowledge management, complementing each other for significant improvements in the public sector. In terms of originality, this study aims to contribute and stimulate data-driven discussions regarding the impacts of the digital transformation in the public sector and their relation with the implementation of knowledge management practices. The results offer insights into future research needs.",2020,6.0,Government organizational structure,"We set out the case that a range of connected and information technology-centered changes will be critical for the current and next wave of change, and we focus on themes of reintegration, needs-based holism, and digitization changes.",,
{New public management is dead - Long live digital-era governance},"The ""new public management"" (NPM) wave in public sector organizational change was founded on themes of disaggregation, competition, and incentivization. Although its effects are still working through in countries new to NPM, this wave has now largely stalled or been reversed in some key ""leading-edge"" countries. This ebbing chiefly reflects the cumulation of adverse indirect effects on citizens' capacities for solving social problems because NPM has radically increased institutional and policy complexity. The character of the post-NPM regime is currently being formed. We set out the case that a range of connected and information technology-centered changes will be critical for the current and next wave of change, and we focus on themes of reintegration, needs-based holism, and digitization changes. The overall movement incorporating these new shifts is toward ""digital-era governance"" (DEG), which involves reintegrating functions into the governmental sphere, adopting holistic and needs-oriented structures, and progressing digitalization of administrative processes. DEG offers a perhaps unique opportunity to create self-sustaining change, in a broad range of closely connected technological, organizational, cultural, and social effects. But there are alternative scenarios as to how far DEG will be recognized as a coherent phenomenon and implemented successfully.",2006,5.0,Government organizational structure,,"This study involves all employees of Public Body X as samples, using a purposive sampling approach.",
{Organizational Leadership in Accelerating Digital Transformation},"In the research, the focus is on organizations that have transitioned towards digitization across Indonesia. Managing organizational resources is key to understanding the shift from bureaucracy to digital, with the leader's role crucial in optimizing organizational effectiveness. Human resource development emphasizes viewing individuals as assets. This study involves all employees of Public Body X as samples, using a purposive sampling approach. In the context of Indonesia's government digitization policy, institutions already have digital platforms to enhance transparency. The article highlights challenges such as resistance to change, especially within robust bureaucratic structures, underscoring the importance of leaders being flexible and responsive to change demands. Looking ahead, the article emphasizes the significance of leaders with a growth mindset to comprehend and develop their potential in the digital era. Transformation towards a more agile digital system requires innovative strategies and the willingness of organizational members to undergo comprehensive change. In conclusion, leaders understanding digital dynamics can drive organizational effectiveness and efficiency while addressing challenges in the digital era.",2025,7.0,Leadership,"By leveraging technologies such as pre-filled forms, open data, digital public services, and e-governance solutions, governments aim to streamline processes, improve accessibility, and enhance citizen engagement.",The purpose of this paper is to analyze the use of digital tools in improving public services within the framework of digital transformation.,"By leveraging technologies such as pre-filled forms, open data, digital public services, and e-governance solutions, governments aim to streamline processes, improve accessibility, and enhance citizen engagement."
{Digital tools in enhancing public services delivery},"The purpose of this paper is to analyze the use of digital tools in improving public services within the framework of digital transformation. By leveraging technologies such as pre-filled forms, open data, digital public services, and e-governance solutions, governments aim to streamline processes, improve accessibility, and enhance citizen engagement. The study investigates how various public sector entities, considering factors such as their field of activity, the size of the workforce, and income levels, integrate digital tools into service delivery. Respondents working in public institutions participated in an electronic questionnaire and the results obtained indicated that these digital tools are widely utilized. This research underscores the importance of using digital tools in improving public services. These results can be useful in providing actionable findings that can inform decision making and drive positive change in public sector organizations.",2024,3.0,Departmental responsibilities and administrative power,,,"As interest in the digital transformation of public administration grows, the main challenge remains to improve government governance systems and integrate a wider range of evidence into decision-making processes."
{Automated impact assessment-How digitizing government enables rapid and tailor-made policy responses.},"As interest in the digital transformation of public administration grows, the main challenge remains to improve government governance systems and integrate a wider range of evidence into decision-making processes. The successful digitalization and application of such approaches improves the quality, responsiveness and flexibility of public administrations. The digialtization of processes has made it possible to use micro-level data to assess the impact of a policy or program and apply the feedback to improve the design and delivery of public services. Evidence-based policy-making evaluates programs based on their visible impacts. Large-scale data collected through digitized governance, coupled with econometric impact assessment, provides an ideal working toolkit for this. However, the current situation of European governments is one of slow adoption, as they are often slow to respond to new challenges. This is due to the static one-off impact assessment approaches used, the results of which quickly become outdated. With further digitalization, improvement of systems, and a rapidly changing situation, there is a need to speed up institutions' ability to quickly draw working solutions to offset the effects of unexpected events in society and economy and react without delays if policy effects dissipate. This paper demonstrates how a high level of digitalization in government allows addressing such issues by automating causal impact assessment and making it a continuous part of the service delivery. The use case is an automated system for assessing active labour market policies in Estonia using individual-level data from government digital registers. Building on this, it shows how impact assessment automation depends on automatically generated data, only available due to the digitalization of other public services, and how versatile it is when it comes to proving casual evidence in a suddenly changing environment.",2022,3.0,Departmental responsibilities and administrative power,,,Digital transformation improves public services by integrating digital technology.
{Transforming Public Service Delivery: A Comprehensive Review of Digitization Initiatives},"Digital transformation improves public services by integrating digital technology. The rapid use of digital technology in the public sector may marginalize groups without access to or familiarity with digital platforms. This can create a digital divide, worsening inequities by leaving people who cannot access digital services behind. This research will examine public service delivery digital transformation projects and their effects on local governments. The study uses a thorough literature evaluation and case studies of digital transformation projects in different nations. Scopus was used to find relevant content and current public sector digitization research, papers, and publications and they were examined. The study included a variety of opinions on the issue. The assessment found that digital transformation improves efficiency, citizen involvement, and government accountability in public service delivery. Digital transformation may face obstacles that must be overcome. This research demonstrated that improving organizational efficiency, meeting citizen expectations, and responding to superior demands from higher authorities drive digital change in public service delivery. This study stresses technological readiness as a critical driver of local government digital transformation. Opponents' concerns should be addressed in future research and practice, such as digital service delivery inclusivity and accessibility, cost and resource management, and data security and privacy.",2024,1.0,Public service delivery,,,
{New development: COVID-19 as an accelerator of digital transformation in public service delivery},"In an unexpected circumstance, such as the COVID-19 pandemic, public service delivery cannot be suspended, but must be delivered online, relying on the available digital technology. Social media, specifically, have been widely used to reach a broader portion of the population. This article discusses the digital acceleration that governments and organizations are now facing. The focus is on Italian state museums, which have been pushed for years to adopt digital tools to increase participation. This article highlights three main dilemmas in service delivery: user engagement; planning and control; and costs. The three dilemmas show the social and organizational challenges connected to digital transformation, underlining the issues that organizations will have to face in the future and not just in an emergency such as COVID-19. IMPACT How should public sector institutions use digital technologies for service delivery in unexpected circumstances, such as the COVID-19 pandemic? Starting from the empirical setting of 100 Italian state museums, this article shows how digital technologies, and social media particularly, can be a powerful tool for public service delivery when an onsite service cannot be provided. The authors explain the benefits of online service delivery, for example broader audiences and new ways of interacting with users. They also highlight areas that need discussion and further research, for example whether online services should be provided with a fee or free and the trade-off between carefully planning a digital transformation and reacting promptly to catastrophic events.",2020,1.0,Public service delivery,This study aims to analyze transformational leadership in supporting innovative digital governance.,Data were taken through interviews and through online media and then analyzed using NVivo 12 Plus.,The results show that transformational leadership provides good support for digital governance.
{Transformational Leadership in Supporting Innovative Digital Governance},"This research is motivated by various failures of several government leaderships in running digital government and resulting in low innovation. This study aims to analyze transformational leadership in supporting innovative digital governance. Digital governance emphasizes the aspect of using data and platforms for the public to be able to access government information and services anytime and anywhere by utilizing online network devices. The government of innovation emphasizes the creation of new things that are sup- ported by human intelligence. Data were taken through interviews and through online media and then analyzed using NVivo 12 Plus. The results show that transformational leadership provides good support for digital governance. Digital governance can contribute to transformational leadership in creating innovations. E-governance has a positive impact on the efficiency and effectiveness of public governance in relation to human relations with humans, human relations with government, and government relations with other institutions.",2023,2.0,Leadership,,"Using an in-depth case study of the Weijiayuan platform implemented in the Jiaxing City of China, we found that digital platforms played critical roles in both stages of COVID-19 and helped facilitate the transition from recovery resilience to transformative resilience.",
"{Government 2.0? Technology, Trust and Collaboration in the UAE Public Sector}","Increased use of the Internet and related technologies in government seems to hold out promise for a collaborative governance model, derived from cross‐agency information and knowledge sharing, but many governments struggle to attain this goal. Over the past decade, many local and federal government entities in the United Arab Emirates witnessed a shift from the traditional, hierarchical ‘silos mode' of governance into a ‘competitive mode,' heavily influenced by ‘New Public Management' approaches. Although competition has had a relatively positive impact on government efficiency, there is evidence that it has increased institutional and policy complexity, reduced levels of trust and decreased knowledge sharing in government, thereby reinforcing information silos and hindering collaboration and cross‐government innovations. This article reports a national survey of UAE government employees in federal and local government institutions which found that ‘technology,' ‘leadership' and ‘trust' are perceived as the top three interconnected enablers of collaboration in the UAE government. The article concludes that there is now a possibility to move towards a more collaborative mode in governance, using technological innovations to bring down the cost of social transactions in government, with three key prerequisites: fostering a comfortable level of ‘political trust' between society and government, achieving a threshold of social acceptance of technology ('technological trust') within the public sector and reforming the ‘social trust' dynamics in society.",2010,5.0,Government organizational structure,Future research should focus on addressing the specific challenges faced by emerging economies and exploring the ethical implications of AI in governance.,"By synthesizing relevant theories such as the Unified Theory of Acceptance and Use of Technology (UTAUT), Institutional Theory, and the Dynamic Capabilities Framework, this conceptual paper provides a strong theoretical foundation for understanding AI adoption in governance.","The findings reveal that AI-powered systems can significantly improve governance outcomes by enabling real-time insights and decision-making, while visualization tools enhance transparency and accountability."
{From recovery resilience to transformative resilience: How digital platforms reshape public service provision during and post COVID-19},"This paper investigates how government-sponsored digital platforms facilitated the transition from recovery resilience during COVID-19 to transformative resilience of city-level service provision post COVID-19. Using an in-depth case study of the Weijiayuan platform implemented in the Jiaxing City of China, we found that digital platforms played critical roles in both stages of COVID-19 and helped facilitate the transition from recovery resilience to transformative resilience. This transition was made possible by four conditions: adopting and experimenting digital platforms with public entrepreneurship, achieving a critical mass of usership, incentivizing the coproduction of public services, and generating accountability mechanisms for government responsiveness.",2023,10.0,Departmental responsibilities and administrative power,,"By harnessing the power of data coupled with machine learning (ML) and artificial intelligence (AI) techniques, a data-driven strategy poses to be an essential to approach in moving towards a smart citizen-centric e-government.",
{AI-Powered Governments: The Role of Data Analytics and Visualization in Accelerating Digital Transformation},"This study addresses the growing challenges faced by governments in utilising the potential of AI and data analytics for digital transformation, focusing on how these technologies can enhance public service delivery, transparency, and citizen engagement. Despite their transformative potential, majority of the governments struggle with the adoption and integration of AI-powered systems due to infrastructural, regulatory, and ethical concerns. The aim of this study is to investigate the role of data analytics and visualization tools in accelerating digital transformation within AI-powered governments. By synthesizing relevant theories such as the Unified Theory of Acceptance and Use of Technology (UTAUT), Institutional Theory, and the Dynamic Capabilities Framework, this conceptual paper provides a strong theoretical foundation for understanding AI adoption in governance. The methodology involves a comprehensive literature review, analysing past studies and theoretical frameworks related to AI, data analytics, and public sector digital transformation. The findings reveal that AI-powered systems can significantly improve governance outcomes by enabling real-time insights and decision-making, while visualization tools enhance transparency and accountability. However, challenges remain, particularly regarding data privacy, digital infrastructure, and equitable access to services. The study's implications are both theoretical and practical. Theoretically, it contributes to understanding how AI and data analytics are reshaping governance, while practically, it highlights the need for governments to invest in digital infrastructure and develop dynamic capabilities to adapt to technological advancements. Future research should focus on addressing the specific challenges faced by emerging economies and exploring the ethical implications of AI in governance.",2024,9.0,Government operating logic and processes,,"In addition, a national public opinion survey examines the ability of e-government to influence citizens' views about government and their confidence in the effectiveness of service delivery.","Research examines the content of e-government to investigate whether it is taking advantage of the interactive features of the World Wide Web to improve service delivery, democratic responsiveness, and public outreach."
{Establishing efficient governance through data-driven e-government},"Economies are changing for the better with the evolution of technology and today, it is faster and cheaper to process data than before. Data in the 21st century reinforces all activities and is an enabler of growth in the wider economy. This paper explores big data in the public sector and buttresses the need for data-driven e-Government as the next phase of public service modernization which entails utilizing data produced from e-Government applications and information systems. By harnessing the power of data coupled with machine learning (ML) and artificial intelligence (AI) techniques, a data-driven strategy poses to be an essential to approach in moving towards a smart citizen-centric e-government. The possibility of building a true citizen-centric public sector can be enabled by a smart and proactive government which is realized in a data-driven e-Government model. In this article, we provide an overview on the emergence of big data analytics of public sector e-services in governance.",2018,6.0,Government organizational structure,,"With the rising digitization and efficiency in digital service delivery, Estonia is a good example of how technology has revolutionized the traditional approach of governance and delivery of services by the government.",
